epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.535,1.60169,3.59812,2.59035,1.70221,0.11603,0.18549,0.1555,0.11981,0.11838,0.19216,0.16431,0.10207,1.17762,3.1354,2.50123,1.31187,0.000299477,0.000299477,0.000299477
2,213.744,1.6032,3.4669,2.20522,1.69129,0.20044,0.10436,0.15637,0.12506,0.20044,0.10436,0.15637,0.11046,1.3995,3.14585,2.22963,1.53463,0.000601882,0.000601882,0.000601882
3,312.396,1.59931,3.43961,2.17698,1.67147,0.13426,0.10588,0.10735,0.07241,0.14352,0.11255,0.11323,0.07493,1.67295,3.0802,2.31859,1.73829,0.000901907,0.000901907,0.000901907
4,413.129,1.60805,3.46048,2.15957,1.68504,0.22697,0.18737,0.21045,0.12284,0.21624,0.18423,0.19938,0.11448,1.33629,2.98487,2.21481,1.42016,0.00090095,0.00090095,0.00090095
5,512.926,1.5394,3.37914,2.11187,1.63942,0.22871,0.13569,0.18244,0.12862,0.22871,0.13569,0.18244,0.12434,1.34414,2.67366,1.9015,1.44478,0.000894722,0.000894722,0.000894722
6,613.316,1.52801,3.32581,2.08152,1.633,0.21994,0.08627,0.13277,0.10486,0.21587,0.09161,0.13883,0.09837,1.2896,2.59026,1.79881,1.40541,0.000886757,0.000886757,0.000886757
7,710.971,1.48301,3.23228,2.00463,1.60508,0.35017,0.35882,0.35709,0.20425,0.36995,0.37529,0.37817,0.23211,1.28682,2.76422,1.76836,1.34428,0.000877087,0.000877087,0.000877087
8,810.223,1.47248,3.22139,1.97094,1.59936,0.27404,0.19137,0.22307,0.1642,0.28446,0.19804,0.22892,0.15574,1.25108,2.30957,1.46842,1.3531,0.000865748,0.000865748,0.000865748
9,908.24,1.44506,3.16986,1.96744,1.59033,0.32065,0.12627,0.22326,0.12712,0.31061,0.14627,0.2331,0.12681,1.33123,2.70507,1.61432,1.49025,0.000852787,0.000852787,0.000852787
10,1006.62,1.43791,3.13963,1.91243,1.56622,0.27778,0.14902,0.21141,0.16184,0.27778,0.14902,0.21141,0.14941,1.22129,2.26936,1.63792,1.35434,0.000838254,0.000838254,0.000838254
11,1105.03,1.42982,3.14075,1.93342,1.56703,0.23284,0.13608,0.18853,0.1389,0.24074,0.14275,0.19363,0.13047,1.19465,2.27365,1.52963,1.31277,0.000822207,0.000822207,0.000822207
12,1203.16,1.40879,3.08962,1.89988,1.55338,0.24557,0.15641,0.19677,0.14766,0.2534,0.16287,0.2021,0.14065,1.14849,2.24611,1.65663,1.25561,0.000804709,0.000804709,0.000804709
13,1300.61,1.40838,3.08777,1.8779,1.55283,0.22253,0.20824,0.21613,0.15766,0.22894,0.2149,0.22236,0.15219,1.13967,2.14582,1.37073,1.24818,0.000785829,0.000785829,0.000785829
14,1398.94,1.38618,3.04545,1.83557,1.5301,0.54203,0.30021,0.33409,0.16085,0.61606,0.3162,0.37845,0.20784,1.08098,2.1135,1.55206,1.24446,0.000765641,0.000765641,0.000765641
15,1496.09,1.36884,2.98569,1.81697,1.516,0.26936,0.1851,0.23569,0.16015,0.26936,0.1851,0.23569,0.16146,1.12904,2.23064,1.30886,1.26241,0.000744226,0.000744226,0.000744226
16,1596.02,1.37888,2.98668,1.78676,1.51125,0.23611,0.17843,0.19678,0.16736,0.25833,0.1949,0.22035,0.15649,0.96828,2.20584,1.37122,1.17733,0.000721667,0.000721667,0.000721667
17,1695.01,1.3406,2.95287,1.77862,1.50434,0.24928,0.18863,0.23441,0.16956,0.25503,0.19529,0.24195,0.16795,1.03512,2.09335,1.35215,1.1816,0.000698054,0.000698054,0.000698054
18,1792.62,1.33202,2.92422,1.7529,1.48478,0.39988,0.31922,0.35492,0.23028,0.45347,0.33569,0.38734,0.23709,1.00462,2.15173,1.39924,1.18331,0.000673481,0.000673481,0.000673481
19,1890.74,1.31806,2.90523,1.74847,1.48294,0.37619,0.37216,0.39821,0.26873,0.37922,0.37882,0.41023,0.28291,1.10101,2.14807,1.47258,1.24805,0.000648043,0.000648043,0.000648043
20,1989.05,1.3081,2.87805,1.73202,1.4697,0.23994,0.16275,0.21132,0.15631,0.24569,0.16941,0.21689,0.15044,1.15408,2.2577,1.37723,1.299,0.000621841,0.000621841,0.000621841
21,2086.54,1.3231,2.90744,1.72877,1.48475,0.30303,0.16902,0.24278,0.19644,0.31061,0.17569,0.24676,0.17907,1.08272,2.19006,1.258,1.26073,0.00059498,0.00059498,0.00059498
22,2186.43,1.29884,2.85051,1.70389,1.47069,0.57038,0.32275,0.37737,0.26746,0.61795,0.33922,0.40704,0.30233,1.05115,2.18348,1.35734,1.22327,0.000567564,0.000567564,0.000567564
23,2284.89,1.27907,2.84379,1.67763,1.45289,0.41238,0.34235,0.38306,0.26197,0.41905,0.34902,0.38956,0.27898,1.00722,2.2377,1.31762,1.16777,0.000539702,0.000539702,0.000539702
24,2382.72,1.28327,2.79859,1.66843,1.45441,0.24405,0.14902,0.20157,0.1651,0.25238,0.15569,0.20863,0.15769,1.03263,2.07091,1.35436,1.24232,0.000511504,0.000511504,0.000511504
25,2480.43,1.27284,2.79589,1.6549,1.4455,0.42443,0.37176,0.39966,0.27088,0.43138,0.37843,0.40705,0.27725,1.01926,1.94544,1.26006,1.16668,0.000483081,0.000483081,0.000483081
26,2580.17,1.26241,2.76551,1.64046,1.43827,0.56635,0.49994,0.57657,0.30994,0.49206,0.34902,0.41808,0.29557,1.03631,1.9741,1.17038,1.19237,0.000454545,0.000454545,0.000454545
27,2679.64,1.23955,2.77646,1.64261,1.43763,0.43333,0.37843,0.41346,0.26354,0.44,0.3851,0.41921,0.27769,1.00155,2.06208,1.26021,1.19208,0.00042601,0.00042601,0.00042601
28,2780.35,1.24927,2.7514,1.60681,1.42262,0.38713,0.3651,0.39827,0.27179,0.38391,0.36653,0.40317,0.27911,0.93043,1.98191,1.2027,1.14977,0.000397587,0.000397587,0.000397587
29,2881.04,1.25296,2.75306,1.60921,1.42803,0.42821,0.33922,0.3867,0.2415,0.42821,0.33922,0.3867,0.28629,0.96331,1.88307,1.16162,1.14782,0.000369389,0.000369389,0.000369389
30,2983.78,1.2352,2.74324,1.58583,1.4208,0.63889,0.53529,0.58813,0.277,0.63889,0.53529,0.58813,0.30093,0.99514,1.96472,1.14215,1.17683,0.000341527,0.000341527,0.000341527
31,3081.51,1.22546,2.68341,1.56651,1.41762,0.41238,0.34235,0.39191,0.27531,0.41905,0.34902,0.39741,0.29595,0.93233,2.04336,1.0956,1.10654,0.000314111,0.000314111,0.000314111
32,3182.92,1.22212,2.70923,1.57178,1.41573,0.44286,0.3651,0.40853,0.27892,0.45079,0.37176,0.41684,0.30562,0.9802,1.912,1.15159,1.16065,0.00028725,0.00028725,0.00028725
33,3282.18,1.205,2.64082,1.53736,1.39519,0.58267,0.54549,0.56374,0.31007,0.58267,0.54549,0.56525,0.32727,0.92817,1.93757,1.25534,1.12304,0.000261048,0.000261048,0.000261048
34,3382.4,1.19698,2.61698,1.52752,1.38808,0.39899,0.37843,0.39982,0.25816,0.40455,0.3851,0.40441,0.29307,0.9354,2.00028,1.27402,1.1232,0.00023561,0.00023561,0.00023561
35,3482.68,1.19122,2.64594,1.51601,1.39697,0.60185,0.53529,0.5727,0.30175,0.44949,0.36908,0.41508,0.30561,0.94883,1.9171,1.12934,1.1264,0.000211037,0.000211037,0.000211037
36,3581.89,1.18642,2.61068,1.50475,1.38621,0.63194,0.53843,0.58107,0.31314,0.47222,0.37843,0.4237,0.32143,0.93728,1.86569,1.18128,1.13379,0.000187424,0.000187424,0.000187424
37,3680.61,1.17404,2.60044,1.50071,1.38345,0.63016,0.53807,0.57708,0.30162,0.63701,0.54474,0.58605,0.33127,0.96047,1.88927,1.15354,1.1293,0.000164865,0.000164865,0.000164865
38,3780.08,1.17591,2.58208,1.48399,1.37582,0.61905,0.5451,0.58363,0.32616,0.625,0.55176,0.59231,0.32946,0.92746,1.87556,1.14114,1.12064,0.00014345,0.00014345,0.00014345
39,3880.01,1.1947,2.65488,1.49944,1.38885,0.60435,0.53843,0.5799,0.34579,0.61159,0.5451,0.58787,0.34038,0.9291,1.83313,1.09159,1.11875,0.000123262,0.000123262,0.000123262
40,3979.12,1.16713,2.56471,1.47213,1.37327,0.44883,0.3651,0.40589,0.28651,0.45725,0.37176,0.41514,0.30615,0.92846,1.8289,1.10616,1.11204,0.000104382,0.000104382,0.000104382
41,4062.29,1.05368,1.98422,1.23171,1.25436,0.77247,0.46401,0.54469,0.39233,0.77985,0.47025,0.55104,0.39855,0.91757,1.84965,1.09342,1.09022,8.6884e-05,8.6884e-05,8.6884e-05
42,4140.6,1.03917,1.92519,1.16231,1.24625,0.78846,0.63157,0.71222,0.40538,0.79487,0.63824,0.72134,0.39742,0.9367,1.7584,1.10405,1.11918,7.08368e-05,7.08368e-05,7.08368e-05
43,4218.39,1.02976,1.91195,1.15662,1.23523,0.75232,0.6449,0.70716,0.43948,0.75946,0.65157,0.71596,0.44257,0.94933,1.85828,1.14854,1.13619,5.63039e-05,5.63039e-05,5.63039e-05
44,4296.18,1.01197,1.89252,1.13628,1.22693,0.77748,0.62176,0.70243,0.4058,0.78442,0.62843,0.7117,0.4189,0.94968,1.82621,1.09934,1.12992,4.33427e-05,4.33427e-05,4.33427e-05
45,4373.88,1.0209,1.89447,1.11631,1.2352,0.76123,0.62709,0.70367,0.40382,0.76769,0.63375,0.71169,0.42914,0.95691,1.79995,1.10304,1.14024,3.20043e-05,3.20043e-05,3.20043e-05
46,4452.04,1.00735,1.87315,1.10549,1.22115,0.7714,0.62051,0.69402,0.39407,0.7784,0.62718,0.70311,0.40638,0.9422,1.80022,1.10526,1.13036,2.23335e-05,2.23335e-05,2.23335e-05
47,4530.48,1.01269,1.85744,1.10935,1.23254,0.73535,0.63824,0.69717,0.39589,0.77805,0.62268,0.70658,0.40792,0.9732,1.81884,1.08369,1.14961,1.43684e-05,1.43684e-05,1.43684e-05
48,4608.68,1.00338,1.86396,1.09494,1.21903,0.76914,0.62157,0.69586,0.39451,0.77697,0.62813,0.70459,0.40789,0.97409,1.83046,1.08385,1.15155,8.14054e-06,8.14054e-06,8.14054e-06
49,4686.84,0.99746,1.85259,1.09094,1.21331,0.77806,0.62109,0.69566,0.39365,0.7862,0.6275,0.70446,0.40673,0.97073,1.83133,1.08941,1.15037,3.67441e-06,3.67441e-06,3.67441e-06
